s,xs,dtv,dfe,label
most important,q_0.2,0.034400000000000014,0.06880000000000003,theoretical:marginal
most important,q_0.2,0.029850746268656705,0.05970149253731341,theoretical:conditional
most important,q_0.2,0.034400000000000014,0.00013774633407592773,random:marginal
most important,q_0.2,0.029850746268656705,0.0004457235336303711,random:conditional
most important,q_0.2,0.04400000000000001,0.08800000000000002,theoretical:marginal
most important,q_0.2,0.04228855721393033,0.08457711442786066,theoretical:conditional
most important,q_0.2,0.04400000000000001,1.7642974853515625e-05,random:marginal
most important,q_0.2,0.04228855721393033,0.0023302435874938965,random:conditional
most important,q_0.2,0.06479999999999998,0.12959999999999997,theoretical:marginal
most important,q_0.2,0.06467661691542288,0.12935323383084577,theoretical:conditional
most important,q_0.2,0.06479999999999998,0.00040858983993530273,random:marginal
most important,q_0.2,0.06467661691542288,0.002076387405395508,random:conditional
most important,q_0.2,0.060000000000000005,0.12000000000000001,theoretical:marginal
most important,q_0.2,0.052238805970149266,0.10447761194029853,theoretical:conditional
most important,q_0.2,0.060000000000000005,0.0013522505760192871,random:marginal
most important,q_0.2,0.052238805970149266,0.00021380186080932617,random:conditional
most important,q_0.2,0.0552,0.1104,theoretical:marginal
most important,q_0.2,0.05223880597014926,0.10447761194029852,theoretical:conditional
most important,q_0.2,0.0552,0.0006989836692810059,random:marginal
most important,q_0.2,0.05223880597014926,0.0008301138877868652,random:conditional
most important,q_0.2,0.1416,0.2832,theoretical:marginal
most important,q_0.2,0.08955223880597013,0.17910447761194026,theoretical:conditional
most important,q_0.2,0.1416,0.005817890167236328,random:marginal
most important,q_0.2,0.08955223880597013,0.0032719969749450684,random:conditional
most important,q_0.2,0.236,0.472,theoretical:marginal
most important,q_0.2,0.1865671641791045,0.373134328358209,theoretical:conditional
most important,q_0.2,0.236,0.013247549533843994,random:marginal
most important,q_0.2,0.1865671641791045,0.0019426941871643066,random:conditional
most important,q_0.2,0.292,0.584,theoretical:marginal
most important,q_0.2,0.26865671641791045,0.5373134328358209,theoretical:conditional
most important,q_0.2,0.292,0.0181962251663208,random:marginal
most important,q_0.2,0.26865671641791045,0.004288792610168457,random:conditional
most important,q_0.2,0.3288,0.6576,theoretical:marginal
most important,q_0.2,0.2810945273631841,0.5621890547263682,theoretical:conditional
most important,q_0.2,0.3288,0.02622973918914795,random:marginal
most important,q_0.2,0.2810945273631841,0.0032410025596618652,random:conditional
most important,q_0.2,0.36960000000000004,0.7392000000000001,theoretical:marginal
most important,q_0.2,0.29104477611940305,0.5820895522388061,theoretical:conditional
most important,q_0.2,0.36960000000000004,0.032505929470062256,random:marginal
most important,q_0.2,0.29104477611940305,0.008120059967041016,random:conditional
most important,q_0.2,0.4384,0.8768,theoretical:marginal
most important,q_0.2,0.4203980099502488,0.8407960199004976,theoretical:conditional
most important,q_0.2,0.4384,0.07170474529266357,random:marginal
most important,q_0.2,0.4203980099502488,0.05947762727737427,random:conditional
most important,q_0.2,0.524,1.048,theoretical:marginal
most important,q_0.2,0.4800995024875621,0.9601990049751242,theoretical:conditional
most important,q_0.2,0.524,0.11133605241775513,random:marginal
most important,q_0.2,0.4800995024875621,0.09736233949661255,random:conditional
most important,q_0.2,0.5608,1.1216,theoretical:marginal
most important,q_0.2,0.5049751243781095,1.009950248756219,theoretical:conditional
most important,q_0.2,0.5608,0.13772818446159363,random:marginal
most important,q_0.2,0.5049751243781095,0.11709582805633545,random:conditional
most important,q_0.2,0.6135999999999999,1.2271999999999998,theoretical:marginal
most important,q_0.2,0.5348258706467662,1.0696517412935325,theoretical:conditional
most important,q_0.2,0.6135999999999999,0.1578860580921173,random:marginal
most important,q_0.2,0.5348258706467662,0.13009744882583618,random:conditional
most important,q_0.2,0.6288,1.2576,theoretical:marginal
most important,q_0.2,0.5447761194029851,1.0895522388059702,theoretical:conditional
most important,q_0.2,0.6288,0.17727956175804138,random:marginal
most important,q_0.2,0.5447761194029851,0.15419045090675354,random:conditional
most important,q_0.2,0.6544000000000001,1.3088000000000002,theoretical:marginal
most important,q_0.2,0.5323383084577116,1.0646766169154231,theoretical:conditional
most important,q_0.2,0.6544000000000001,0.21027281880378723,random:marginal
most important,q_0.2,0.5323383084577116,0.1771576702594757,random:conditional
most important,q_0.2,0.7152000000000001,1.4304000000000001,theoretical:marginal
most important,q_0.2,0.5572139303482588,1.1144278606965177,theoretical:conditional
most important,q_0.2,0.7152000000000001,0.2465289831161499,random:marginal
most important,q_0.2,0.5572139303482588,0.22469958662986755,random:conditional
most important,q_0.2,0.7352000000000001,1.4704000000000002,theoretical:marginal
most important,q_0.2,0.5870646766169154,1.1741293532338308,theoretical:conditional
most important,q_0.2,0.7352000000000001,0.2624707520008087,random:marginal
most important,q_0.2,0.5870646766169154,0.2376696765422821,random:conditional
most important,q_0.2,0.6944,1.3888,theoretical:marginal
most important,q_0.2,0.5348258706467662,1.0696517412935325,theoretical:conditional
most important,q_0.2,0.6944,0.2708572447299957,random:marginal
most important,q_0.2,0.5348258706467662,0.23540061712265015,random:conditional
most important,q_0.2,0.7192000000000001,1.4384000000000001,theoretical:marginal
most important,q_0.2,0.6119402985074628,1.2238805970149256,theoretical:conditional
most important,q_0.2,0.7192000000000001,0.2908414602279663,random:marginal
most important,q_0.2,0.6119402985074628,0.25236818194389343,random:conditional
most important,q_0.2,0.7584000000000002,1.5168000000000004,theoretical:marginal
most important,q_0.2,0.7288557213930348,1.4577114427860696,theoretical:conditional
most important,q_0.2,0.7584000000000002,0.33398187160491943,random:marginal
most important,q_0.2,0.7288557213930348,0.312082439661026,random:conditional
most important,q_0.2,0.7552,1.5104,theoretical:marginal
most important,q_0.2,0.7935323383084576,1.5870646766169152,theoretical:conditional
most important,q_0.2,0.7552,0.36112427711486816,random:marginal
most important,q_0.2,0.7935323383084576,0.3191169500350952,random:conditional
most important,q_0.2,0.8088,1.6176,theoretical:marginal
most important,q_0.2,0.5398009950248758,1.0796019900497515,theoretical:conditional
most important,q_0.2,0.8088,0.38600143790245056,random:marginal
most important,q_0.2,0.5398009950248758,0.35654687881469727,random:conditional
most important,q_0.2,0.8200000000000001,1.6400000000000001,theoretical:marginal
most important,q_0.2,0.6393034825870646,1.2786069651741292,theoretical:conditional
most important,q_0.2,0.8200000000000001,0.39108598232269287,random:marginal
most important,q_0.2,0.6393034825870646,0.3534127473831177,random:conditional
most important,q_0.2,0.8543999999999999,1.7087999999999999,theoretical:marginal
most important,q_0.2,0.6268656716417911,1.2537313432835822,theoretical:conditional
most important,q_0.2,0.8543999999999999,0.4032941460609436,random:marginal
most important,q_0.2,0.6268656716417911,0.37061572074890137,random:conditional
most important,q_0.2,0.06,0.030704140663146973,adversarial:marginal
most important,q_0.2,0.05472636815920399,0.03776133060455322,adversarial:conditional
most important,q_0.2,0.060000000000000005,0.028455078601837158,adversarial:marginal
most important,q_0.2,0.0572139303482587,0.03487801551818848,adversarial:conditional
most important,q_0.2,0.0464,0.02918320894241333,adversarial:marginal
most important,q_0.2,0.04975124378109452,0.036944448947906494,adversarial:conditional
most important,q_0.2,0.05360000000000001,0.030206143856048584,adversarial:marginal
most important,q_0.2,0.03980099502487561,0.036805808544158936,adversarial:conditional
most important,q_0.2,0.04319999999999999,0.0293121337890625,adversarial:marginal
most important,q_0.2,0.04726368159203981,0.03875720500946045,adversarial:conditional
most important,q_0.2,0.1528,0.09016835689544678,adversarial:marginal
most important,q_0.2,0.18159203980099503,0.10809999704360962,adversarial:conditional
most important,q_0.2,0.176,0.08597850799560547,adversarial:marginal
most important,q_0.2,0.1915422885572139,0.09927815198898315,adversarial:conditional
most important,q_0.2,0.20079999999999998,0.09097987413406372,adversarial:marginal
most important,q_0.2,0.17164179104477612,0.10127449035644531,adversarial:conditional
most important,q_0.2,0.14799999999999996,0.07839983701705933,adversarial:marginal
most important,q_0.2,0.19154228855721395,0.1083979606628418,adversarial:conditional
most important,q_0.2,0.1704,0.09391593933105469,adversarial:marginal
most important,q_0.2,0.16417910447761194,0.09986111521720886,adversarial:conditional
most important,q_0.2,0.2752,0.11730679869651794,adversarial:marginal
most important,q_0.2,0.2761194029850746,0.14161166548728943,adversarial:conditional
most important,q_0.2,0.29359999999999997,0.1262091100215912,adversarial:marginal
most important,q_0.2,0.30099502487562196,0.1499328315258026,adversarial:conditional
most important,q_0.2,0.2784,0.1278398633003235,adversarial:marginal
most important,q_0.2,0.25373134328358204,0.15324342250823975,adversarial:conditional
most important,q_0.2,0.3128,0.13403204083442688,adversarial:marginal
most important,q_0.2,0.3134328358208955,0.15468186140060425,adversarial:conditional
most important,q_0.2,0.29679999999999995,0.12666261196136475,adversarial:marginal
most important,q_0.2,0.2885572139303483,0.13615179061889648,adversarial:conditional
most important,q_0.2,0.4632,0.19881781935691833,adversarial:marginal
most important,q_0.2,0.40547263681592044,0.23862183094024658,adversarial:conditional
most important,q_0.2,0.4856,0.2417852282524109,adversarial:marginal
most important,q_0.2,0.4029850746268656,0.26390746235847473,adversarial:conditional
most important,q_0.2,0.4928,0.2478361427783966,adversarial:marginal
most important,q_0.2,0.45024875621890553,0.25936079025268555,adversarial:conditional
most important,q_0.2,0.4664,0.22145414352416992,adversarial:marginal
most important,q_0.2,0.3955223880597015,0.24894043803215027,adversarial:conditional
most important,q_0.2,0.4672,0.2582905888557434,adversarial:marginal
most important,q_0.2,0.4378109452736318,0.2552671730518341,adversarial:conditional
most important,q_0.2,0.5424,0.2909325957298279,adversarial:marginal
most important,q_0.2,0.45273631840796025,0.32044166326522827,adversarial:conditional
most important,q_0.2,0.5640000000000001,0.319848895072937,adversarial:marginal
most important,q_0.2,0.5248756218905474,0.34873953461647034,adversarial:conditional
most important,q_0.2,0.5415999999999999,0.30252805352211,adversarial:marginal
most important,q_0.2,0.4850746268656716,0.34898000955581665,adversarial:conditional
most important,q_0.2,0.5488,0.315205454826355,adversarial:marginal
most important,q_0.2,0.4875621890547264,0.3264293670654297,adversarial:conditional
most important,q_0.2,0.5624,0.2838205397129059,adversarial:marginal
most important,q_0.2,0.4502487562189055,0.2881321907043457,adversarial:conditional
most important,q_0.5,0.034400000000000014,0.06880000000000003,theoretical:marginal
most important,q_0.5,0.0327552986512524,0.0655105973025048,theoretical:conditional
most important,q_0.5,0.034400000000000014,0.0014349818229675293,random:marginal
most important,q_0.5,0.0327552986512524,0.0013906359672546387,random:conditional
most important,q_0.5,0.04400000000000001,0.08800000000000002,theoretical:marginal
most important,q_0.5,0.04431599229287091,0.08863198458574181,theoretical:conditional
most important,q_0.5,0.04400000000000001,0.001172482967376709,random:marginal
most important,q_0.5,0.04431599229287091,1.2874603271484375e-05,random:conditional
most important,q_0.5,0.06479999999999998,0.12959999999999997,theoretical:marginal
most important,q_0.5,0.05780346820809248,0.11560693641618495,theoretical:conditional
most important,q_0.5,0.06479999999999998,5.072355270385742e-05,random:marginal
most important,q_0.5,0.05780346820809248,0.0006669163703918457,random:conditional
most important,q_0.5,0.060000000000000005,0.12000000000000001,theoretical:marginal
most important,q_0.5,0.055876685934489405,0.11175337186897881,theoretical:conditional
most important,q_0.5,0.060000000000000005,0.000624239444732666,random:marginal
most important,q_0.5,0.055876685934489405,0.000615239143371582,random:conditional
