s,xs,dtv,dfe,label
most important,q_0.2,0.10025316455696201,0.20046324536770202,theoretical:marginal
most important,q_0.2,0.32876712328767127,0.6573929590721653,theoretical:conditional
most important,q_0.2,0.10025316455696201,0.0001659989356994629,random:marginal
most important,q_0.2,0.32876712328767127,0.0009541511535644531,random:conditional
most important,q_0.2,0.12303797468354431,0.24602307386036162,theoretical:marginal
most important,q_0.2,0.38527397260273977,0.7703823739126938,theoretical:conditional
most important,q_0.2,0.12303797468354431,0.00020015239715576172,random:marginal
most important,q_0.2,0.38527397260273977,0.001293182373046875,random:conditional
most important,q_0.2,0.13670886075949368,0.27335897095595735,theoretical:marginal
most important,q_0.2,0.30650684931506855,0.6128819774683208,theoretical:conditional
most important,q_0.2,0.13670886075949368,0.0005078911781311035,random:marginal
most important,q_0.2,0.30650684931506855,0.0018157362937927246,random:conditional
most important,q_0.2,0.15594936708860757,0.31183171501642537,theoretical:marginal
most important,q_0.2,0.36472602739726023,0.7292953139706833,theoretical:conditional
most important,q_0.2,0.15594936708860757,0.0007951855659484863,random:marginal
most important,q_0.2,0.36472602739726023,0.0010228753089904785,random:conditional
most important,q_0.2,0.2617721518987342,0.5234318073489999,theoretical:marginal
most important,q_0.2,0.4246575342465754,0.8491325721348802,theoretical:conditional
most important,q_0.2,0.2617721518987342,0.0006578564643859863,random:marginal
most important,q_0.2,0.4246575342465754,0.00012063980102539062,random:conditional
most important,q_0.2,0.46126582278481015,0.9223334168180636,theoretical:marginal
most important,q_0.2,0.4571917808219178,0.9141870837097299,theoretical:conditional
most important,q_0.2,0.46126582278481015,0.0010337233543395996,random:marginal
most important,q_0.2,0.4571917808219178,0.0013741850852966309,random:conditional
most important,q_0.2,0.47493670886075956,0.9496693139136594,theoretical:marginal
most important,q_0.2,0.541095890410959,1.0819592451396054,theoretical:conditional
most important,q_0.2,0.47493670886075956,0.0013875365257263184,random:marginal
most important,q_0.2,0.541095890410959,0.0036488771438598633,random:conditional
most important,q_0.2,0.5508860759493671,1.101535408889191,theoretical:marginal
most important,q_0.2,0.6164383561643835,1.2326117982603098,theoretical:conditional
most important,q_0.2,0.5508860759493671,0.0005866289138793945,random:marginal
most important,q_0.2,0.6164383561643835,0.0063010454177856445,random:conditional
most important,q_0.2,0.49620253164556966,0.9921918205068082,theoretical:marginal
most important,q_0.2,0.7020547945205479,1.4038078813520194,theoretical:conditional
most important,q_0.2,0.49620253164556966,0.0018105506896972656,random:marginal
most important,q_0.2,0.7020547945205479,0.01264655590057373,random:conditional
most important,q_0.2,0.5362025316455696,1.072174630527255,theoretical:marginal
most important,q_0.2,0.7191780821917808,1.4380470979703615,theoretical:conditional
most important,q_0.2,0.5362025316455696,0.0001996159553527832,random:marginal
most important,q_0.2,0.7191780821917808,0.02269071340560913,random:conditional
most important,q_0.2,0.6339240506329115,1.267575672729106,theoretical:marginal
most important,q_0.2,0.7414383561643835,1.482558079574206,theoretical:conditional
most important,q_0.2,0.6339240506329115,0.0038053393363952637,random:marginal
most important,q_0.2,0.7414383561643835,0.03584247827529907,random:conditional
most important,q_0.2,0.7174683544303797,1.4346283772021908,theoretical:marginal
most important,q_0.2,0.8476027397260275,1.6948412226079264,theoretical:conditional
most important,q_0.2,0.7174683544303797,0.011495709419250488,random:marginal
most important,q_0.2,0.8476027397260275,0.05570751428604126,random:conditional
most important,q_0.2,0.7944303797468353,1.588519353444063,theoretical:marginal
most important,q_0.2,0.8065068493150686,1.6126671027239057,theoretical:conditional
most important,q_0.2,0.7944303797468353,0.014216840267181396,random:marginal
most important,q_0.2,0.8065068493150686,0.07131582498550415,random:conditional
most important,q_0.2,0.8111392405063291,1.6219298943386802,theoretical:marginal
most important,q_0.2,0.8441780821917808,1.6879933792842576,theoretical:conditional
most important,q_0.2,0.8111392405063291,0.01978623867034912,random:marginal
most important,q_0.2,0.8441780821917808,0.08836120367050171,random:conditional
most important,q_0.2,0.7807594936708862,1.5611834563484677,theoretical:marginal
most important,q_0.2,0.8065068493150687,1.612667102723906,theoretical:conditional
most important,q_0.2,0.7807594936708862,0.024951040744781494,random:marginal
most important,q_0.2,0.8065068493150687,0.10611683130264282,random:conditional
most important,q_0.2,0.7929113924050634,1.5854820315445528,theoretical:marginal
most important,q_0.2,0.8510273972602739,1.7016890659315944,theoretical:conditional
most important,q_0.2,0.7929113924050634,0.03136336803436279,random:marginal
most important,q_0.2,0.8510273972602739,0.12230730056762695,random:conditional
most important,q_0.2,0.8774683544303797,1.754559617283978,theoretical:marginal
most important,q_0.2,0.8595890410958904,1.7188086742407656,theoretical:conditional
most important,q_0.2,0.8774683544303797,0.03927093744277954,random:marginal
most important,q_0.2,0.8595890410958904,0.13688147068023682,random:conditional
most important,q_0.2,0.8435443037974684,1.6867260948615739,theoretical:marginal
most important,q_0.2,0.8373287671232877,1.674297692636921,theoretical:conditional
most important,q_0.2,0.8435443037974684,0.04358762502670288,random:marginal
most important,q_0.2,0.8373287671232877,0.14511680603027344,random:conditional
most important,q_0.2,0.8349367088607594,1.66951460409768,theoretical:marginal
most important,q_0.2,0.8784246575342467,1.756471812520942,theoretical:conditional
most important,q_0.2,0.8349367088607594,0.04766988754272461,random:marginal
most important,q_0.2,0.8784246575342467,0.15535861253738403,random:conditional
most important,q_0.2,0.8334177215189874,1.6664772821981697,theoretical:marginal
most important,q_0.2,0.8681506849315068,1.7359282825499365,theoretical:conditional
most important,q_0.2,0.8334177215189874,0.05208909511566162,random:marginal
most important,q_0.2,0.8681506849315068,0.17117071151733398,random:conditional
most important,q_0.2,0.8541772151898736,1.7079873481581485,theoretical:marginal
most important,q_0.2,0.9006849315068493,1.800982794124786,theoretical:conditional
most important,q_0.2,0.8541772151898736,0.06346160173416138,random:marginal
most important,q_0.2,0.9006849315068493,0.19244205951690674,random:conditional
most important,q_0.2,0.9356962025316455,1.8709902900985524,theoretical:marginal
most important,q_0.2,0.9006849315068494,1.8009827941247862,theoretical:conditional
most important,q_0.2,0.9356962025316455,0.07238933444023132,random:marginal
most important,q_0.2,0.9006849315068494,0.2202269434928894,random:conditional
most important,q_0.2,0.9174683544303798,1.8345424273044248,theoretical:marginal
most important,q_0.2,0.8835616438356164,1.7667435775064442,theoretical:conditional
most important,q_0.2,0.9174683544303798,0.07982134819030762,random:marginal
most important,q_0.2,0.8835616438356164,0.23180073499679565,random:conditional
most important,q_0.2,0.8637974683544305,1.7272237201883824,theoretical:marginal
most important,q_0.2,0.8852739726027398,1.7701674991682785,theoretical:conditional
most important,q_0.2,0.8637974683544305,0.07682767510414124,random:marginal
most important,q_0.2,0.8852739726027398,0.23064815998077393,random:conditional
most important,q_0.2,0.881012658227848,1.7616467017161694,theoretical:marginal
most important,q_0.2,0.8835616438356164,1.7667435775064442,theoretical:conditional
most important,q_0.2,0.881012658227848,0.08112233877182007,random:marginal
most important,q_0.2,0.8835616438356164,0.24488085508346558,random:conditional
most important,q_0.2,0.22531645569620257,0.03954821825027466,adversarial:marginal
most important,q_0.2,0.6643835616438356,0.05174422264099121,adversarial:conditional
most important,q_0.2,0.24050632911392406,0.03798949718475342,adversarial:marginal
most important,q_0.2,0.6472602739726028,0.053193747997283936,adversarial:conditional
most important,q_0.2,0.22278481012658233,0.038898348808288574,adversarial:marginal
most important,q_0.2,0.6558219178082192,0.053364336490631104,adversarial:conditional
most important,q_0.2,0.2278481012658228,0.03901541233062744,adversarial:marginal
