s,xs,dtv,dfe,label
most important,q_0.2,0.03257328990228013,0.06510388579353059,theoretical:marginal
most important,q_0.2,0.04819277108433735,0.0963223756077778,theoretical:conditional
most important,q_0.2,0.03257328990228013,0.00013793259859085083,random:marginal
most important,q_0.2,0.04819277108433735,0.0005240589380264282,random:conditional
most important,q_0.2,0.0472312703583062,0.09440063440061938,theoretical:marginal
most important,q_0.2,0.06626506024096385,0.13244326646069446,theoretical:conditional
most important,q_0.2,0.0472312703583062,9.245425462722778e-05,random:marginal
most important,q_0.2,0.06626506024096385,0.0008309409022331238,random:conditional
most important,q_0.2,0.03908794788273615,0.0781246629522367,theoretical:marginal
most important,q_0.2,0.07831325301204818,0.15652386036263888,theoretical:conditional
most important,q_0.2,0.03908794788273615,0.00029812753200531006,random:marginal
most important,q_0.2,0.07831325301204818,0.001955650746822357,random:conditional
most important,q_0.2,0.03257328990228012,0.06510388579353056,theoretical:marginal
most important,q_0.2,0.10843373493975902,0.2167253451175,theoretical:conditional
most important,q_0.2,0.03257328990228012,0.0004645809531211853,random:marginal
most important,q_0.2,0.10843373493975902,0.0021500736474990845,random:conditional
most important,q_0.2,0.06026058631921823,0.12044218871803158,theoretical:marginal
most important,q_0.2,0.1265060240963855,0.2528462359704166,theoretical:conditional
most important,q_0.2,0.06026058631921823,8.858740329742432e-05,random:marginal
most important,q_0.2,0.1265060240963855,0.002180814743041992,random:conditional
most important,q_0.2,0.1205211726384365,0.24088437743606322,theoretical:marginal
most important,q_0.2,0.17469879518072287,0.34916861157819445,theoretical:conditional
most important,q_0.2,0.1205211726384365,0.0038286224007606506,random:marginal
most important,q_0.2,0.17469879518072287,0.0029233917593955994,random:conditional
most important,q_0.2,0.22475570032573292,0.4492168119753611,theoretical:marginal
most important,q_0.2,0.18072289156626506,0.3612089085291667,theoretical:conditional
most important,q_0.2,0.22475570032573292,0.006358496844768524,random:marginal
most important,q_0.2,0.18072289156626506,0.0014417842030525208,random:conditional
most important,q_0.2,0.28501628664495116,0.5696590006933927,theoretical:marginal
most important,q_0.2,0.21084337349397586,0.42141039328402774,theoretical:conditional
most important,q_0.2,0.28501628664495116,0.010930337011814117,random:marginal
most important,q_0.2,0.21084337349397586,0.0016445443034172058,random:conditional
most important,q_0.2,0.2899022801302932,0.5794245835624223,theoretical:marginal
most important,q_0.2,0.2590361445783132,0.5177327688918055,theoretical:conditional
most important,q_0.2,0.2899022801302932,0.012883111834526062,random:marginal
most important,q_0.2,0.2590361445783132,0.0074310302734375,random:conditional
most important,q_0.2,0.2915309446254072,0.5826797778520988,theoretical:marginal
most important,q_0.2,0.4156626506024097,0.8307804896170836,theoretical:conditional
most important,q_0.2,0.2915309446254072,0.017466232180595398,random:marginal
most important,q_0.2,0.4156626506024097,0.013723820447921753,random:conditional
most important,q_0.2,0.48859934853420206,0.9765582869029591,theoretical:marginal
most important,q_0.2,0.5180722891566265,1.0354655377836113,theoretical:conditional
most important,q_0.2,0.48859934853420206,0.04270125925540924,random:marginal
most important,q_0.2,0.5180722891566265,0.03684829920530319,random:conditional
most important,q_0.2,0.5260586319218241,1.0514277555655192,theoretical:marginal
most important,q_0.2,0.6144578313253012,1.2281102889991669,theoretical:conditional
most important,q_0.2,0.5260586319218241,0.05756966769695282,random:marginal
most important,q_0.2,0.6144578313253012,0.054955460131168365,random:conditional
most important,q_0.2,0.4055374592833877,0.810543378129456,theoretical:marginal
most important,q_0.2,0.47590361445783136,0.9511834591268058,theoretical:conditional
