dataset,seed,layer,dfe,label
heloc,0.0,3.0,0.10016971081495285,marginal
heloc,0.0,3.0,0.07710779458284378,conditional
heloc,0.0,3.0,0.01442599557321838,accumulated
heloc,0.0,2.0,0.4203845262527466,marginal
heloc,0.0,2.0,0.38485050201416016,conditional
heloc,0.0,2.0,0.047148490453016584,accumulated
heloc,0.0,1.0,0.5838610529899597,marginal
heloc,0.0,1.0,0.60533607006073,conditional
heloc,0.0,1.0,0.0737529848610625,accumulated
heloc,1.0,3.0,0.16914744675159454,marginal
heloc,1.0,3.0,0.13661909103393555,conditional
heloc,1.0,3.0,0.02418614321339146,accumulated
heloc,1.0,2.0,0.05947745218873024,marginal
heloc,1.0,2.0,0.05747316777706146,conditional
heloc,1.0,2.0,0.04210046061465834,accumulated
heloc,1.0,1.0,0.09258105605840683,marginal
heloc,1.0,1.0,0.12129078805446625,conditional
heloc,1.0,1.0,0.10087021729291763,accumulated
heloc,2.0,3.0,0.12081585079431534,marginal
heloc,2.0,3.0,0.09305538982152939,conditional
heloc,2.0,3.0,0.014754152694798505,accumulated
heloc,2.0,2.0,0.3738299310207367,marginal
heloc,2.0,2.0,0.32498979568481445,conditional
heloc,2.0,2.0,0.07438522545697814,accumulated
heloc,2.0,1.0,0.39058130979537964,marginal
heloc,2.0,1.0,0.3407960534095764,conditional
heloc,2.0,1.0,0.07951243459243483,accumulated
heloc,3.0,3.0,0.2283616065979004,marginal
heloc,3.0,3.0,0.19257870316505432,conditional
heloc,3.0,3.0,0.03902130069543317,accumulated
heloc,3.0,2.0,0.3671572208404541,marginal
heloc,3.0,2.0,0.320451021194458,conditional
heloc,3.0,2.0,0.07166030341513346,accumulated
heloc,3.0,1.0,0.39089682698249817,marginal
heloc,3.0,1.0,0.3408917784690857,conditional
heloc,3.0,1.0,0.07945870116940529,accumulated
heloc,4.0,3.0,0.06946536153554916,marginal
heloc,4.0,3.0,0.05312767252326012,conditional
heloc,4.0,3.0,0.00969234992137726,accumulated
heloc,4.0,2.0,0.37184861302375793,marginal
heloc,4.0,2.0,0.36569735407829285,conditional
heloc,4.0,2.0,0.05237928209058396,accumulated
heloc,4.0,1.0,0.3265995681285858,marginal
heloc,4.0,1.0,0.3025209903717041,conditional
heloc,4.0,1.0,0.0976111073879233,accumulated
heloc,5.0,3.0,0.04854733496904373,marginal
heloc,5.0,3.0,0.035647641867399216,conditional
heloc,5.0,3.0,0.007742001820400031,accumulated
heloc,5.0,2.0,0.35139209032058716,marginal
heloc,5.0,2.0,0.3019673228263855,conditional
heloc,5.0,2.0,0.05444046112925404,accumulated
heloc,5.0,1.0,0.39089682698249817,marginal
heloc,5.0,1.0,0.3408918082714081,conditional
heloc,5.0,1.0,0.07945870083717171,accumulated
heloc,6.0,3.0,0.14457905292510986,marginal
heloc,6.0,3.0,0.11181222647428513,conditional
heloc,6.0,3.0,0.017510334148141918,accumulated
heloc,6.0,2.0,0.16134309768676758,marginal
heloc,6.0,2.0,0.13410153985023499,conditional
heloc,6.0,2.0,0.037208814788017526,accumulated
heloc,6.0,1.0,0.5229905843734741,marginal
heloc,6.0,1.0,0.5521178245544434,conditional
heloc,6.0,1.0,0.08334027482986481,accumulated
heloc,7.0,3.0,0.05500541999936104,marginal
heloc,7.0,3.0,0.04166758060455322,conditional
heloc,7.0,3.0,0.007784515305482009,accumulated
heloc,7.0,2.0,0.10453235357999802,marginal
heloc,7.0,2.0,0.13931532204151154,conditional
heloc,7.0,2.0,0.05895439219896782,accumulated
heloc,7.0,1.0,0.39037686586380005,marginal
heloc,7.0,1.0,0.34060946106910706,conditional
heloc,7.0,1.0,0.07944730478698551,accumulated
heloc,8.0,3.0,0.052159953862428665,marginal
heloc,8.0,3.0,0.042598068714141846,conditional
heloc,8.0,3.0,0.009506615039729396,accumulated
heloc,8.0,2.0,0.3364311158657074,marginal
heloc,8.0,2.0,0.28709694743156433,conditional
heloc,8.0,2.0,0.05949745820048509,accumulated
heloc,8.0,1.0,0.3902505934238434,marginal
heloc,8.0,1.0,0.3405921161174774,conditional
heloc,8.0,1.0,0.07966963786376578,accumulated
heloc,9.0,3.0,0.048433490097522736,marginal
heloc,9.0,3.0,0.036559171974658966,conditional
heloc,9.0,3.0,0.008185448124144328,accumulated
heloc,9.0,2.0,0.32301613688468933,marginal
heloc,9.0,2.0,0.3275987505912781,conditional
heloc,9.0,2.0,0.07730384875024264,accumulated
heloc,9.0,1.0,0.398609459400177,marginal
heloc,9.0,1.0,0.4749181270599365,conditional
heloc,9.0,1.0,0.11819212446238102,accumulated
heloc,10.0,3.0,0.03122321143746376,marginal
heloc,10.0,3.0,0.022551313042640686,conditional
heloc,10.0,3.0,0.004956071501989545,accumulated
heloc,10.0,2.0,0.3020317554473877,marginal
heloc,10.0,2.0,0.25352516770362854,conditional
heloc,10.0,2.0,0.05215505667615547,accumulated
heloc,10.0,1.0,0.15643854439258575,marginal
heloc,10.0,1.0,0.18171115219593048,conditional
heloc,10.0,1.0,0.11806780772687425,accumulated
heloc,11.0,3.0,0.06115107983350754,marginal
heloc,11.0,3.0,0.050442591309547424,conditional
heloc,11.0,3.0,0.011190285851804071,accumulated
heloc,11.0,2.0,0.17797575891017914,marginal
heloc,11.0,2.0,0.15067340433597565,conditional
heloc,11.0,2.0,0.037322676290581336,accumulated
heloc,11.0,1.0,0.608985424041748,marginal
heloc,11.0,1.0,0.659058690071106,conditional
heloc,11.0,1.0,0.07945039233103927,accumulated
heloc,12.0,3.0,0.10512744635343552,marginal
heloc,12.0,3.0,0.0840543732047081,conditional
heloc,12.0,3.0,0.013960921236393378,accumulated
heloc,12.0,2.0,0.10608676075935364,marginal
heloc,12.0,2.0,0.09648384898900986,conditional
heloc,12.0,2.0,0.04510326569256559,accumulated
heloc,12.0,1.0,0.1292189359664917,marginal
heloc,12.0,1.0,0.14727571606636047,conditional
heloc,12.0,1.0,0.06803024506479317,accumulated
heloc,13.0,3.0,0.10897914320230484,marginal
heloc,13.0,3.0,0.0833764597773552,conditional
heloc,13.0,3.0,0.0127136094778578,accumulated
heloc,13.0,2.0,0.2013241946697235,marginal
heloc,13.0,2.0,0.18449774384498596,conditional
heloc,13.0,2.0,0.042654013374786894,accumulated
heloc,13.0,1.0,0.1719786673784256,marginal
heloc,13.0,1.0,0.18830178678035736,conditional
heloc,13.0,1.0,0.15699206435984106,accumulated
heloc,14.0,3.0,0.13474486768245697,marginal
heloc,14.0,3.0,0.10495544224977493,conditional
heloc,14.0,3.0,0.01634924034952524,accumulated
heloc,14.0,2.0,0.22902368009090424,marginal
heloc,14.0,2.0,0.18065319955348969,conditional
heloc,14.0,2.0,0.035595931818781075,accumulated
heloc,14.0,1.0,0.3614424765110016,marginal
heloc,14.0,1.0,0.31947046518325806,conditional
heloc,14.0,1.0,0.08180490862673383,accumulated
heloc,15.0,3.0,0.09342792630195618,marginal
heloc,15.0,3.0,0.07070203125476837,conditional
heloc,15.0,3.0,0.009896126544137603,accumulated
heloc,15.0,2.0,0.37153390049934387,marginal
heloc,15.0,2.0,0.32374921441078186,conditional
heloc,15.0,2.0,0.07897467931239004,accumulated
heloc,15.0,1.0,0.3908159136772156,marginal
heloc,15.0,1.0,0.34081926941871643,conditional
heloc,15.0,1.0,0.07939411073340934,accumulated
