dataset,sigma,seed,layer,dfe,performance,label
heloc,0.1,0.0,3.0,0.03927546367049217,0.7281012658227848,marginal
heloc,0.1,0.0,3.0,0.03003816492855549,0.7281012658227848,conditional
heloc,0.1,0.0,3.0,0.004971331091423866,0.7281012658227848,accumulated
heloc,0.1,0.0,2.0,0.02091311290860176,0.7316455696202532,marginal
heloc,0.1,0.0,2.0,0.016902653500437737,0.7316455696202532,conditional
heloc,0.1,0.0,2.0,0.004787158787767312,0.7316455696202532,accumulated
heloc,0.1,0.0,1.0,0.2584924101829529,0.6217721518987341,marginal
heloc,0.1,0.0,1.0,0.20983551442623138,0.6217721518987341,conditional
heloc,0.1,0.0,1.0,0.04501959194599261,0.6217721518987341,accumulated
heloc,0.1,1.0,3.0,0.012905266135931015,0.7377215189873417,marginal
heloc,0.1,1.0,3.0,0.010051519609987736,0.7377215189873417,conditional
heloc,0.1,1.0,3.0,0.0021934146896787875,0.7377215189873417,accumulated
heloc,0.1,1.0,2.0,0.010562158189713955,0.7387341772151899,marginal
heloc,0.1,1.0,2.0,0.01062097679823637,0.7387341772151899,conditional
heloc,0.1,1.0,2.0,0.004805221957967712,0.7387341772151899,accumulated
heloc,0.1,1.0,1.0,0.21013401448726654,0.6486075949367088,marginal
heloc,0.1,1.0,1.0,0.15964382886886597,0.6486075949367088,conditional
heloc,0.1,1.0,1.0,0.03140971246211519,0.6486075949367088,accumulated
heloc,0.1,2.0,3.0,0.008295372128486633,0.739240506329114,marginal
heloc,0.1,2.0,3.0,0.006202593445777893,0.739240506329114,conditional
heloc,0.1,2.0,3.0,0.0013407663492723085,0.739240506329114,accumulated
heloc,0.1,2.0,2.0,0.01965267024934292,0.7356962025316456,marginal
heloc,0.1,2.0,2.0,0.015208990313112736,0.7356962025316456,conditional
heloc,0.1,2.0,2.0,0.004074281155852876,0.7356962025316456,accumulated
heloc,0.1,2.0,1.0,0.13088083267211914,0.6926582278481013,marginal
heloc,0.1,2.0,1.0,0.0922333225607872,0.6926582278481013,conditional
heloc,0.1,2.0,1.0,0.025007776947384465,0.6926582278481013,accumulated
heloc,0.1,3.0,3.0,0.008645311929285526,0.7372151898734177,marginal
heloc,0.1,3.0,3.0,0.00652115186676383,0.7372151898734177,conditional
heloc,0.1,3.0,3.0,0.0011218903754308194,0.7372151898734177,accumulated
heloc,0.1,3.0,2.0,0.004991021007299423,0.7362025316455696,marginal
heloc,0.1,3.0,2.0,0.0038112967740744352,0.7362025316455696,conditional
heloc,0.1,3.0,2.0,0.0029081807789783547,0.7362025316455696,accumulated
